Type,Start,End,Duration,Start Conditions,Start Location,End Conditions,Notes
sleep,2024-03-31 02:09,2024-03-31 08:29,6:20,,,,
sleep,2024-03-31 00:06,2024-03-31 01:47,1:41,,,,
feed,2024-03-30 23:45,,,Breast,,,
sleep,2024-03-30 21:23,2024-03-30 23:56,2:33,,,,
sleep,2024-03-30 18:31,2024-03-30 21:04,2:33,,,,
sleep,2024-03-30 17:26,2024-03-30 18:20,0:54,,,,
feed,2024-03-30 15:23,,,Bottle,bottle,5oz,
feed,2024-03-30 13:51,,,Bottle,bottle,4oz,
feed,2024-03-30 12:52,,,Breast,,,
sleep,2024-03-30 12:24,2024-03-30 13:34,1:10,,,,
sleep,2024-03-30 11:55,2024-03-30 13:38,1:43,,,,
sleep,2024-03-30 11:09,2024-03-30 12:20,1:11,,,,
sleep,2024-03-30 09:03,2024-03-30 09:53,0:50,,,,
meds,2024-03-30 08:41,2024-03-30 08:41,,1ml,Vitamin D,,
feed,2024-03-30 06:44,,,Formula,bottle,3oz,
feed,2024-03-30 05:35,,,Breast,,,
feed,2024-03-30 05:32,,,Bottle,bottle,3oz,
feed,2024-03-30 04:01,,,Formula,bottle,4oz,
sleep,2024-03-30 03:11,2024-03-30 07:32,4:21,,,,
feed,2024-03-30 02:08,,,Formula,bottle,5oz,
feed,2024-03-30 01:18,,,Formula,bottle,5oz,
sleep,2024-03-30 00:29,2024-03-30 02:58,2:29,,,,
sleep,2024-03-29 22:02,2024-03-30 00:12,2:10,,,,
feed,2024-03-29 21:03,,,Formula,bottle,4oz,
sleep,2024-03-29 19:08,2024-03-29 21:49,2:41,,,,
feed,2024-03-29 17:43,,,Bottle,bottle,5oz,
feed,2024-03-29 17:33,,,Bottle,bottle,6oz,
feed,2024-03-29 16:19,,,Bottle,bottle,8oz,
sleep,2024-03-29 15:29,2024-03-29 16:43,1:14,,,,
sleep,2024-03-29 15:26,2024-03-29 16:36,1:10,,,,
feed,2024-03-29 12:57,,,Formula,bottle,6oz,
feed,2024-03-29 12:12,,,Formula,bottle,2oz,
sleep,2024-03-29 11:21,2024-03-29 12:31,1:10,,,,
sleep,2024-03-29 09:44,2024-03-29 10:32,0:48,,,,
feed,2024-03-29 09:14,,,Formula,bottle,3oz,
feed,2024-03-29 08:37,,,Breast,,,
meds,2024-03-29 08:23,2024-03-29 08:23,,1ml,Vitamin D,,
sleep,2024-03-29 08:10,2024-03-29 09:57,1:47,,,,
